date;negativeSentiment;maelstromValue
2023-12-17 00:00:00;3370,000000;0,155089
2023-12-18 00:00:00;10,000000;0,139631
2023-12-21 00:00:00;3384,000000;0,142872
2023-12-22 00:00:00;2609,000000;0,141848
2023-12-23 00:00:00;1522,000000;0,135401
2023-12-24 00:00:00;1969,000000;0,131871
2023-12-25 00:00:00;3,000000;0,118699
2023-12-29 00:00:00;2408,000000;0,119071
2023-12-30 00:00:00;2882,000000;0,121816
2023-12-31 00:00:00;1968,000000;0,119640
2024-01-01 00:00:00;2,000000;0,107686
2024-01-05 00:00:00;1698,000000;0,105550
2024-01-06 00:00:00;2584,000000;0,108131
2024-01-07 00:00:00;2415,000000;0,109596
2024-01-08 00:00:00;3,000000;0,098651
2024-01-12 00:00:00;2909,000000;0,103575
2024-01-13 00:00:00;3725,000000;0,112155
2024-01-14 00:00:00;3312,000000;0,117778
2024-01-15 00:00:00;18,000000;0,106091
2024-01-18 00:00:00;3866,000000;0,115137
2024-01-19 00:00:00;3639,000000;0,122123
2024-01-20 00:00:00;1793,000000;0,119026
2024-01-21 00:00:00;2733,000000;0,121018
2024-01-22 00:00:00;4,000000;0,108936
2024-01-25 00:00:00;3762,000000;0,117168
2024-01-26 00:00:00;5537,000000;0,133601
2024-01-27 00:00:00;4197,000000;0,141578
2024-01-28 00:00:00;2310,000000;0,139164
2024-01-29 00:00:00;5,000000;0,125273
2024-01-30 00:00:00;417,000000;0,114866
2024-01-31 00:00:00;3290,000000;0,120105
2024-02-01 00:00:00;1801,000000;0,117251
2024-02-02 00:00:00;1623,000000;0,113777
2024-02-03 00:00:00;1223,000000;0,108617
2024-02-04 00:00:00;2306,000000;0,109478
2024-02-05 00:00:00;9,000000;0,098576
2024-02-08 00:00:00;1564,000000;0,096670
2024-02-09 00:00:00;4227,000000;0,108493
2024-02-10 00:00:00;3725,000000;0,116581
2024-02-11 00:00:00;1599,000000;0,113052
2024-02-12 00:00:00;4,000000;0,101767
2024-02-15 00:00:00;729,000000;0,095296
2024-02-16 00:00:00;2478,000000;0,098365
2024-02-17 00:00:00;2725,000000;0,102382
2024-02-18 00:00:00;5581,000000;0,120517
2024-02-19 00:00:00;8,000000;0,108506
2024-02-23 00:00:00;3289,000000;0,114376
2024-02-24 00:00:00;2082,000000;0,113523
2024-02-25 00:00:00;5442,000000;0,129837
2024-02-26 00:00:00;3,000000;0,116869
2024-02-29 00:00:00;1947,000000;0,115080
2024-03-01 00:00:00;3395,000000;0,120832
2024-03-02 00:00:00;4697,000000;0,132628
2024-03-03 00:00:00;2541,000000;0,132283
2024-03-04 00:00:00;11,000000;0,119111
2024-03-07 00:00:00;5230,000000;0,133788
2024-03-08 00:00:00;2971,000000;0,135514
2024-03-09 00:00:00;1801,000000;0,131119
2024-03-10 00:00:00;1135,000000;0,123777
2024-03-11 00:00:00;3,000000;0,111414
2024-03-14 00:00:00;2299,000000;0,111961
2024-03-15 00:00:00;2345,000000;0,112687
2024-03-16 00:00:00;4177,000000;0,122653
2024-03-17 00:00:00;3040,000000;0,125843
2024-03-18 00:00:00;3,000000;0,113274
2024-03-21 00:00:00;4138,000000;0,122984
2024-03-22 00:00:00;3215,000000;0,127030
2024-03-23 00:00:00;2066,000000;0,124830
2024-03-24 00:00:00;1819,000000;0,121595
2024-03-25 00:00:00;0,000000;0,109435
2024-03-28 00:00:00;513,000000;0,101100
2024-03-29 00:00:00;2482,000000;0,103608
2024-03-30 00:00:00;4314,000000;0,115179
2024-03-31 00:00:00;5020,000000;0,129182
2024-04-01 00:00:00;147,000000;0,117011
2024-04-04 00:00:00;2377,000000;0,117395
2024-04-05 00:00:00;2332,000000;0,117511
2024-04-06 00:00:00;3217,000000;0,122115
2024-04-07 00:00:00;1793,000000;0,119019
2024-04-08 00:00:00;64,000000;0,107442
2024-04-12 00:00:00;4331,000000;0,118716
2024-04-13 00:00:00;2300,000000;0,118538
2024-04-14 00:00:00;3051,000000;0,122195
2024-04-15 00:00:00;149,000000;0,110733
2024-04-18 00:00:00;1961,000000;0,109629
2024-04-19 00:00:00;2968,000000;0,113755
2024-04-20 00:00:00;1643,000000;0,110732
2024-04-21 00:00:00;946,000000;0,104468
2024-04-22 00:00:00;42,000000;0,094235
2024-04-25 00:00:00;1267,000000;0,091253
2024-04-26 00:00:00;5208,000000;0,108605
2024-04-27 00:00:00;4757,000000;0,121928
2024-04-28 00:00:00;1498,000000;0,117351
2024-04-29 00:00:00;33,000000;0,105784
2024-05-02 00:00:00;114,000000;0,095785
2024-05-03 00:00:00;3587,000000;0,104442
2024-05-04 00:00:00;1714,000000;0,102712
2024-05-05 00:00:00;3865,000000;0,112090
2024-05-06 00:00:00;123,000000;0,101506
2024-05-09 00:00:00;1064,000000;0,096765
2024-05-10 00:00:00;2686,000000;0,100744
2024-05-11 00:00:00;1594,000000;0,098773
2024-05-12 00:00:00;1390,000000;0,095962
2024-05-13 00:00:00;41,000000;0,086574
2024-05-16 00:00:00;1296,000000;0,084506
2024-05-17 00:00:00;1807,000000;0,085242
2024-05-18 00:00:00;1634,000000;0,085025
2024-05-19 00:00:00;2832,000000;0,090920
2024-05-20 00:00:00;111,000000;0,082392
2024-05-24 00:00:00;1814,000000;0,083375
2024-05-25 00:00:00;3749,000000;0,094097
2024-05-26 00:00:00;5542,000000;0,112862
2024-05-27 00:00:00;156,000000;0,102369
2024-05-31 00:00:00;5932,000000;0,122290
2024-06-01 00:00:00;6650,000000;0,143869
2024-06-02 00:00:00;3115,000000;0,145318
2024-06-03 00:00:00;57,000000;0,131076
2024-06-06 00:00:00;279,000000;0,119387
2024-06-07 00:00:00;1899,000000;0,117102
2024-06-08 00:00:00;1504,000000;0,113038
2024-06-09 00:00:00;2051,000000;0,112162
2024-06-10 00:00:00;104,000000;0,101474
2024-06-13 00:00:00;3287,000000;0,108037
2024-06-14 00:00:00;3079,000000;0,112887
2024-06-15 00:00:00;1609,000000;0,109778
2024-06-16 00:00:00;2715,000000;0,112603
2024-06-17 00:00:00;64,000000;0,101668
2024-06-21 00:00:00;576,000000;0,094430
2024-06-22 00:00:00;5240,000000;0,111626
2024-06-23 00:00:00;5503,000000;0,128440
2024-06-24 00:00:00;182,000000;0,116522
2024-06-28 00:00:00;7525,000000;0,143126
2024-06-29 00:00:00;7844,000000;0,168691
2024-06-30 00:00:00;5255,000000;0,178538
2024-07-01 00:00:00;176,000000;0,161579
2024-07-05 00:00:00;272,000000;0,146804
2024-07-06 00:00:00;3526,000000;0,150049
2024-07-07 00:00:00;8816,000000;0,179864
2024-07-08 00:00:00;226,000000;0,163026
2024-07-11 00:00:00;3273,000000;0,163363
2024-07-12 00:00:00;3219,000000;0,163392
2024-07-13 00:00:00;4644,000000;0,170662
2024-07-14 00:00:00;3747,000000;0,172645
2024-07-15 00:00:00;79,000000;0,155783
2024-07-18 00:00:00;5313,000000;0,167215
2024-07-19 00:00:00;6477,000000;0,183422
2024-07-20 00:00:00;281,000000;0,166508
2024-07-22 00:00:00;580,000000;0,152806
2024-07-23 00:00:00;9008,000000;0,700000
2024-07-24 00:00:00;310,000000;0,631576
2024-07-25 00:00:00;7183,000000;0,604936
2024-07-26 00:00:00;2859,000000;0,558977
2024-07-27 00:00:00;9581,000000;0,700000
2024-07-28 00:00:00;902,000000;0,634586
2024-07-30 00:00:00;2841,000000;0,585570
2024-07-31 00:00:00;4630,000000;0,550552
2024-08-01 00:00:00;210,000000;0,496564
2024-08-04 00:00:00;5544,000000;0,475093
2024-08-05 00:00:00;8287,000000;0,700000
2024-08-06 00:00:00;264,000000;0,631342
2024-08-09 00:00:00;19670,000000;0,700000
2024-08-10 00:00:00;2383,000000;0,642115
2024-08-12 00:00:00;4064,000000;0,598564
2024-08-13 00:00:00;2401,000000;0,550914
2024-08-14 00:00:00;2011,000000;0,506047
2024-08-15 00:00:00;71,000000;0,455803
2024-08-18 00:00:00;405,000000;0,412282
2024-08-19 00:00:00;3325,000000;0,387957
2024-08-20 00:00:00;5438,000000;0,376808
2024-08-21 00:00:00;3203,000000;0,355411
2024-08-22 00:00:00;113,000000;0,320444
2024-08-25 00:00:00;1721,000000;0,297149
2024-08-26 00:00:00;5788,000000;0,296860
2024-08-27 00:00:00;2361,000000;0,279177
2024-08-28 00:00:00;4203,000000;0,272627
2024-08-29 00:00:00;232,000000;0,246543
2024-09-02 00:00:00;1687,000000;0,230466
2024-09-03 00:00:00;2730,000000;0,221298
2024-09-04 00:00:00;9152,000000;0,245696
2024-09-05 00:00:00;299,000000;0,222646
2024-09-07 00:00:00;113,000000;0,200956
2024-09-08 00:00:00;1883,000000;0,190434
2024-09-09 00:00:00;3597,000000;0,189677
2024-09-10 00:00:00;1743,000000;0,179571
2024-09-11 00:00:00;3271,000000;0,178243
2024-09-12 00:00:00;125,000000;0,161054
2024-09-15 00:00:00;785,000000;0,148939
2024-09-16 00:00:00;1777,000000;0,143080
2024-09-17 00:00:00;2073,000000;0,139311
2024-09-18 00:00:00;2230,000000;0,136717
2024-09-19 00:00:00;47,000000;0,123284
2024-09-23 00:00:00;2950,000000;0,125953
2024-09-24 00:00:00;4867,000000;0,138101
2024-09-25 00:00:00;7338,000000;0,700000
2024-09-26 00:00:00;151,000000;0,630768
2024-09-29 00:00:00;1174,000000;0,573659
2024-09-30 00:00:00;2343,000000;0,528205
2024-10-01 00:00:00;5091,000000;0,501267
2024-10-02 00:00:00;3492,000000;0,468893
2024-10-03 00:00:00;94,000000;0,422481
2024-10-08 00:00:00;1062,000000;0,385632
2024-10-09 00:00:00;7374,000000;0,384558
2024-10-10 00:00:00;491,000000;0,348598
2024-10-13 00:00:00;97,000000;0,314232
2024-10-14 00:00:00;3534,000000;0,300775
2024-10-15 00:00:00;6058,000000;0,301496
2024-10-16 00:00:00;7620,000000;0,310085
2024-10-17 00:00:00;185,000000;0,280017
2024-10-22 00:00:00;16690,000000;0,336866
2024-10-23 00:00:00;458,000000;0,305507
2024-10-25 00:00:00;2895,000000;0,289674
2024-10-26 00:00:00;2142,000000;0,271597
2024-10-27 00:00:00;3230,000000;0,260858
2024-10-28 00:00:00;2972,000000;0,249881
2024-10-29 00:00:00;10,000000;0,224944
2024-11-01 00:00:00;437,000000;0,204671
2024-11-02 00:00:00;2538,000000;0,197107
2024-11-03 00:00:00;1613,000000;0,185597
2024-11-04 00:00:00;7780,000000;0,700000
2024-11-05 00:00:00;16,000000;0,630081
2024-11-08 00:00:00;3209,000000;0,583387
2024-11-09 00:00:00;6262,000000;0,556884
2024-11-10 00:00:00;3709,000000;0,520052
2024-11-11 00:00:00;6455,000000;0,500863
2024-11-12 00:00:00;46,000000;0,451011
2024-11-15 00:00:00;10223,000000;0,457882
2024-11-16 00:00:00;2949,000000;0,427086
2024-11-17 00:00:00;5,000000;0,384403
2024-11-20 00:00:00;782,000000;0,349938
2024-11-21 00:00:00;2382,000000;0,327054
2024-11-22 00:00:00;4892,000000;0,319219
2024-11-23 00:00:00;2876,000000;0,301919
2024-11-24 00:00:00;7,000000;0,271762
2024-11-27 00:00:00;982,000000;0,249578
2024-11-28 00:00:00;2477,000000;0,237213
2024-11-29 00:00:00;2818,000000;0,227818
2024-11-30 00:00:00;2658,000000;0,218550
2024-12-01 00:00:00;13,000000;0,196761
2024-12-03 00:00:00;66,000000;0,177420
2024-12-04 00:00:00;2182,000000;0,170771
2024-12-05 00:00:00;2877,000000;0,168320
2024-12-06 00:00:00;1311,000000;0,158153
2024-12-07 00:00:00;1203,000000;0,148454
2024-12-08 00:00:00;0,000000;0,133609
2024-12-11 00:00:00;6368,000000;0,152622
2024-12-12 00:00:00;7361,000000;0,700000
2024-12-13 00:00:00;9,000000;0,630046
2024-12-16 00:00:00;598,000000;0,570081
2024-12-17 00:00:00;8444,000000;0,556002
2024-12-18 00:00:00;8522,000000;0,543726
2024-12-19 00:00:00;24,000000;0,489476
2024-12-23 00:00:00;2282,000000;0,452130
2024-12-24 00:00:00;6773,000000;0,441350
2024-12-25 00:00:00;4077,000000;0,417942
2024-12-26 00:00:00;6,000000;0,376178
2024-12-29 00:00:00;773,000000;0,342490
2024-12-30 00:00:00;2430,000000;0,320595
2024-12-31 00:00:00;1962,000000;0,298510
2025-01-01 00:00:00;2888,000000;0,283341
2025-01-02 00:00:00;6,000000;0,255038
2025-01-04 00:00:00;926,000000;0,234242
2025-01-05 00:00:00;2847,000000;0,225291
2025-01-06 00:00:00;3150,000000;0,218776
2025-01-07 00:00:00;3101,000000;0,212664
2025-01-08 00:00:00;2738,000000;0,205317
2025-01-09 00:00:00;9,000000;0,184831
2025-01-12 00:00:00;3612,000000;0,184711
2025-01-13 00:00:00;4201,000000;0,187597
2025-01-14 00:00:00;2766,000000;0,182900
2025-01-15 00:00:00;2564,000000;0,177645
2025-01-16 00:00:00;7,000000;0,159916
2025-01-19 00:00:00;814,000000;0,148063
2025-01-20 00:00:00;2593,000000;0,146439
2025-01-21 00:00:00;2385,000000;0,143920
2025-01-22 00:00:00;2980,000000;0,144678
2025-01-23 00:00:00;9,000000;0,130256
2025-01-28 00:00:00;6357,000000;0,149549
2025-01-29 00:00:00;8382,000000;0,177207
2025-01-30 00:00:00;14,000000;0,159557
2025-02-01 00:00:00;309,000000;0,145173
2025-02-02 00:00:00;2700,000000;0,144382
2025-02-03 00:00:00;2135,000000;0,140798
2025-02-04 00:00:00;1463,000000;0,134156
2025-02-05 00:00:00;1701,000000;0,129388
2025-02-06 00:00:00;5,000000;0,116474
2025-02-10 00:00:00;4622,000000;0,128325
2025-02-11 00:00:00;4245,000000;0,137073
2025-02-12 00:00:00;3938,000000;0,143386
2025-02-13 00:00:00;11,000000;0,129104
2025-02-14 00:00:00;5680,000000;0,145070
2025-02-15 00:00:00;5119,000000;0,156587
2025-02-16 00:00:00;1936,000000;0,150771
2025-02-17 00:00:00;3309,000000;0,152516
2025-02-18 00:00:00;13,000000;0,137331
2025-02-20 00:00:00;652,000000;0,126912
2025-02-21 00:00:00;2341,000000;0,126123
2025-02-22 00:00:00;1855,000000;0,122941
2025-02-23 00:00:00;1721,000000;0,119396
2025-02-24 00:00:00;1648,000000;0,115835
2025-02-25 00:00:00;9,000000;0,104297
2025-02-27 00:00:00;1635,000000;0,102180
2025-02-28 00:00:00;4217,000000;0,113400
2025-03-01 00:00:00;1235,000000;0,108339
2025-03-02 00:00:00;2815,000000;0,111816
2025-03-03 00:00:00;1998,000000;0,110792
2025-03-04 00:00:00;3,000000;0,099728
2025-03-07 00:00:00;1049,000000;0,095088
2025-03-08 00:00:00;2521,000000;0,098396
2025-03-09 00:00:00;3435,000000;0,106020
2025-03-10 00:00:00;1747,000000;0,104299
2025-03-11 00:00:00;7,000000;0,093905
2025-03-15 00:00:00;1634,000000;0,092821
2025-03-16 00:00:00;3043,000000;0,099010
2025-03-17 00:00:00;6111,000000;0,700000
2025-03-18 00:00:00;16,000000;0,630081
2025-03-21 00:00:00;2644,000000;0,580515
2025-03-22 00:00:00;2714,000000;0,536261
2025-03-23 00:00:00;1731,000000;0,491435
2025-03-24 00:00:00;2313,000000;0,454051
2025-03-25 00:00:00;15,000000;0,408722
2025-03-27 00:00:00;796,000000;0,371897
2025-03-28 00:00:00;1895,000000;0,344341
2025-03-29 00:00:00;1837,000000;0,319246
2025-03-30 00:00:00;1766,000000;0,296299
2025-03-31 00:00:00;2269,000000;0,278205
2025-04-01 00:00:00;59,000000;0,250684
2025-04-04 00:00:00;631,000000;0,228824
2025-04-05 00:00:00;1370,000000;0,212906
2025-04-06 00:00:00;1208,000000;0,197757
2025-04-07 00:00:00;1639,000000;0,186314
2025-04-08 00:00:00;70,000000;0,168038
2025-04-11 00:00:00;1436,000000;0,158535
2025-04-12 00:00:00;3702,000000;0,161502
2025-04-13 00:00:00;3271,000000;0,161981
2025-04-14 00:00:00;3152,000000;0,161807
2025-04-15 00:00:00;122,000000;0,146247
2025-04-19 00:00:00;3722,000000;0,150544
2025-04-20 00:00:00;3297,000000;0,152252
2025-04-21 00:00:00;2147,000000;0,147942
2025-04-22 00:00:00;71,000000;0,133508
2025-04-26 00:00:00;2524,000000;0,132989
2025-04-27 00:00:00;1820,000000;0,128943
2025-04-28 00:00:00;3569,000000;0,134193
2025-04-29 00:00:00;112,000000;0,121343
2025-05-03 00:00:00;381,000000;0,111146
2025-05-04 00:00:00;3398,000000;0,117306
2025-05-05 00:00:00;10889,000000;0,160934
2025-05-06 00:00:00;810,000000;0,148959
2025-05-08 00:00:00;477,000000;0,136488
2025-05-09 00:00:00;7911,000000;0,163058
2025-05-10 00:00:00;4353,000000;0,168882
2025-05-11 00:00:00;2537,000000;0,164892
2025-05-12 00:00:00;1527,000000;0,156166
2025-05-13 00:00:00;54,000000;0,140824
2025-05-16 00:00:00;781,000000;0,130712
2025-05-17 00:00:00;2806,000000;0,131906
2025-05-18 00:00:00;1685,000000;0,127282
2025-05-19 00:00:00;4296,000000;0,136394
2025-05-20 00:00:00;361,000000;0,124590
2025-05-21 00:00:00;2334,000000;0,123997
2025-05-22 00:00:00;7032,000000;0,147347
2025-05-23 00:00:00;4793,000000;0,156979
2025-05-24 00:00:00;110,000000;0,141840
2025-05-28 00:00:00;2167,000000;0,138673
2025-05-29 00:00:00;2639,000000;0,138222
2025-05-30 00:00:00;2412,000000;0,136662
2025-05-31 00:00:00;55,000000;0,123276
2025-06-04 00:00:00;6699,000000;0,145005
2025-06-05 00:00:00;5239,000000;0,157139
2025-06-06 00:00:00;5253,000000;0,168131
2025-06-07 00:00:00;117,000000;0,151913
2025-06-10 00:00:00;227,000000;0,137875
2025-06-11 00:00:00;2760,000000;0,138119
2025-06-12 00:00:00;2483,000000;0,136931
2025-06-13 00:00:00;3069,000000;0,138840
2025-06-14 00:00:00;123,000000;0,125581
2025-06-17 00:00:00;503,000000;0,115580
2025-06-18 00:00:00;3045,000000;0,119503
2025-06-19 00:00:00;2487,000000;0,120196
2025-06-20 00:00:00;3019,000000;0,123525
2025-06-21 00:00:00;151,000000;0,111940
2025-06-24 00:00:00;974,000000;0,105698
2025-06-25 00:00:00;3087,000000;0,110822
2025-06-26 00:00:00;3943,000000;0,119785
2025-06-27 00:00:00;1843,000000;0,117177
2025-06-28 00:00:00;60,000000;0,105764
2025-06-30 00:00:00;763,000000;0,099066
2025-07-01 00:00:00;3365,000000;0,106267
2025-07-02 00:00:00;2713,000000;0,109433
2025-07-03 00:00:00;2449,000000;0,110940
2025-07-04 00:00:00;2509,000000;0,112602
2025-07-05 00:00:00;84,000000;0,101769
2025-07-08 00:00:00;1598,000000;0,099716
