"pos","neu","neg","datemonth"
"2689","3009","1819","2024-03-24"
"3","4","0","2024-03-25"
"499","846","513","2024-03-28"
"1935","4455","2482","2024-03-29"
"1926","3928","4314","2024-03-30"
"1300","4720","5020","2024-03-31"
"59","156","147","2024-04-01"
"2049","3846","2377","2024-04-04"
"3254","4111","2332","2024-04-05"
"2177","4095","3217","2024-04-06"
"1611","3186","1793","2024-04-07"
"104","134","64","2024-04-08"
"4227","7322","4331","2024-04-12"
"2319","3417","2300","2024-04-13"
"2747","4783","3051","2024-04-14"
"102","202","149","2024-04-15"
"1370","2473","1961","2024-04-18"
"5138","4298","2968","2024-04-19"
"3651","3145","1643","2024-04-20"
"1446","2436","946","2024-04-21"
"31","52","42","2024-04-22"
"1521","3819","1267","2024-04-25"
"2437","4972","5208","2024-04-26"
"2125","4198","4757","2024-04-27"
"1580","2970","1498","2024-04-28"
"59","106","33","2024-04-29"
"184","156","114","2024-05-02"
"2700","5787","3587","2024-05-03"
"1514","3497","1714","2024-05-04"
"2115","3937","3865","2024-05-05"
"122","135","123","2024-05-06"
"690","1757","1064","2024-05-09"
"1608","3502","2686","2024-05-10"
"1316","2512","1594","2024-05-11"
"1527","8461","1390","2024-05-12"
"93","409","41","2024-05-13"
"840","2208","1296","2024-05-16"
"1817","3786","1807","2024-05-17"
"2194","6172","1634","2024-05-18"
"1733","3765","2832","2024-05-19"
"53","102","111","2024-05-20"
"2651","2946","1814","2024-05-24"
"2417","5374","3749","2024-05-25"
"1805","5445","5542","2024-05-26"
"57","194","156","2024-05-27"
"1843","3575","5932","2024-05-31"
"1844","4192","6650","2024-06-01"
"1422","2846","3115","2024-06-02"
"61","113","57","2024-06-03"
"547","835","279","2024-06-06"
"2391","3507","1899","2024-06-07"
"2470","3022","1504","2024-06-08"
"7204","3555","2051","2024-06-09"
"422","310","104","2024-06-10"
"1992","3773","3287","2024-06-13"
"2711","4855","3079","2024-06-14"
"2251","3090","1609","2024-06-15"
"1431","2633","2715","2024-06-16"
"85","75","64","2024-06-17"
"365","798","576","2024-06-21"
"3154","5783","5240","2024-06-22"
"4069","5346","5503","2024-06-23"
"227","157","182","2024-06-24"
"1309","3274","7525","2024-06-28"
"3070","6501","7844","2024-06-29"
"3322","6416","5255","2024-06-30"
"290","218","176","2024-07-01"
"241","460","272","2024-07-05"
"3282","2962","3526","2024-07-06"
"3223","5085","8816","2024-07-07"
"2434","573","226","2024-07-08"
"2740","4883","3273","2024-07-11"
"2000","5217","3219","2024-07-12"
"2099","3696","4644","2024-07-13"
"1647","4411","3747","2024-07-14"
"67","178","79","2024-07-15"
"2416","10035","5313","2024-07-18"
"6785","12022","6477","2024-07-19"
"643","578","281","2024-07-20"
"1813","1919","580","2024-07-22"
"13458","13218","9008","2024-07-23"
"320","424","310","2024-07-24"
"5016","13755","7183","2024-07-25"
"3494","4622","2859","2024-07-26"
"8804","21335","9581","2024-07-27"
"218","581","902","2024-07-28"
"5089","11777","2841","2024-07-30"
"6530","11869","4630","2024-07-31"
"194","310","210","2024-08-01"
"3510","7273","5544","2024-08-04"
"11506","8164","8287","2024-08-05"
"121","281","264","2024-08-06"
"9341","9760","19670","2024-08-09"
"381","965","2383","2024-08-10"
"4604","12707","4064","2024-08-12"
"4598","8128","2401","2024-08-13"
"4676","5090","2011","2024-08-14"
"193","207","71","2024-08-15"
"416","1345","405","2024-08-18"
"2208","6654","3325","2024-08-19"
"3044","10215","5438","2024-08-20"
"4068","8257","3203","2024-08-21"
"366","293","113","2024-08-22"
"297","1155","1721","2024-08-25"
"3096","6451","5788","2024-08-26"
"2738","6096","2361","2024-08-27"
"3045","5566","4203","2024-08-28"
"130","171","232","2024-08-29"
"5997","3425","1687","2024-09-02"
"5300","6922","2730","2024-09-03"
"3314","7218","9152","2024-09-04"
"96","260","299","2024-09-05"
"148","294","113","2024-09-07"
"2325","6007","1883","2024-09-08"
"2848","5474","3597","2024-09-09"
"1865","3731","1743","2024-09-10"
"2035","4237","3271","2024-09-11"
"55","149","125","2024-09-12"
"762","2368","785","2024-09-15"
"2529","3804","1777","2024-09-16"
"6766","4559","2073","2024-09-17"
"3992","5171","2230","2024-09-18"
"52","135","47","2024-09-19"
"1600","3768","2950","2024-09-23"
"2215","4608","4867","2024-09-24"
"3739","5238","7338","2024-09-25"
"77","99","151","2024-09-26"
"2124","2562","1174","2024-09-29"
"3299","4438","2343","2024-09-30"
"2752","4995","5091","2024-10-01"
"2345","4996","3492","2024-10-02"
"60","135","94","2024-10-03"
"594","2219","1062","2024-10-08"
"6817","24423","7374","2024-10-09"
"392","1378","491","2024-10-10"
"87","481","97","2024-10-13"
"2270","9299","3534","2024-10-14"
"2459","8402","6058","2024-10-15"
"2226","6507","7620","2024-10-16"
"61","314","185","2024-10-17"
"8158","23143","16690","2024-10-22"
"406","645","458","2024-10-23"
"2163","7532","2895","2024-10-25"
"1943","8978","2142","2024-10-26"
"1781","5706","3230","2024-10-27"
"2934","5444","2972","2024-10-28"
"7","13","10","2024-10-29"
"257","976","437","2024-11-01"
"2655","4450","2538","2024-11-02"
"1855","4915","1613","2024-11-03"
"4604","8268","7780","2024-11-04"
"20","16","16","2024-11-05"
"1482","3818","3209","2024-11-08"
"2482","4591","6262","2024-11-09"
"2003","3227","3709","2024-11-10"
"2089","3939","6455","2024-11-11"
"7","31","46","2024-11-12"
"7576","17678","10223","2024-11-15"
"3342","8144","2949","2024-11-16"
